,Time,Power
714,1.042,-0.000816176
715,1.042,-0.000634919
716,1.042,-0.000630896
717,1.042,-0.000804093
718,1.042,-0.000622965
719,1.052,-0.000687828
720,1.052,-0.000683505
721,1.052,-0.000679215
722,1.052,-0.000478091
723,1.052,-0.000473862
724,1.052,-0.000533217
725,1.062,-0.000372369
726,1.062,-0.000322885
727,1.062,-0.000595545
728,1.062,-0.00017915
729,1.062,-0.000516284
730,1.062,-0.000355297
731,1.072,-0.000307783
732,1.072,-0.000304643
733,1.072,-0.000258412
734,1.072,-0.000340945
735,1.072,-0.000337397
736,1.072,-0.000198539
737,1.072,-0.000413433
738,1.082,-0.000212906
739,1.082,-0.000487937
740,1.082,-0.000248688
741,1.082,-0.000442637
742,1.082,-0.000441808
743,1.082,-0.000225642
744,1.092,-0.000443944
745,1.092,-0.000251611
746,1.092,-0.000214093
747,1.092,-0.000198041
748,1.092,-0.00018206
749,1.092,-0.000165682
750,1.102,-0.000197889
751,1.102,-4.39E-05
752,1.102,-0.00019117
753,1.102,-0.000230356
754,1.102,-0.000243128
755,1.102,-0.00028873
756,1.112,-0.000127424
757,1.112,-0.000498117
758,1.112,-0.000178162
759,1.112,-0.000393492
760,1.112,-0.000730328
761,1.112,-0.000279184
762,1.112,-0.000324612
763,1.122,-0.000601421
764,1.122,-0.000620695
765,1.122,-0.000638034
766,1.122,-0.000653121
767,1.122,-0.000850682
768,1.122,-0.000623369
769,1.132,-0.000681849
770,1.132,-0.000684983
771,1.132,-0.000461521
772,1.132,-0.000732452
773,1.132,-0.000723445
774,1.132,-0.000372309
775,1.142,-0.000593093
776,1.142,-0.000809949
777,1.142,-0.0005963
778,1.142,-0.000886189
779,1.142,-0.000320501
780,1.142,-0.000534949
781,1.152,-0.00082196
782,1.152,-0.000205687
783,1.152,-0.000815324
784,1.152,-0.000393895
785,1.152,-1.89E-05
786,1.152,-0.000290349
787,1.152,-0.000226208
788,1.162,-0.000163373
789,1.162,-9.68E-05
790,1.162,0.000271878
791,1.162,6.86E-06
792,1.162,6.05E-05
793,1.162,9.50E-05
794,1.172,-0.000181715
795,1.172,0.000127289
796,1.172,-0.000134027
797,1.172,0.000137926
798,1.172,0.000137355
799,1.172,0.00013966
800,1.182,0.000427974
801,1.182,-0.00018744
802,1.182,7.06E-05
803,1.182,3.41E-05
804,1.182,-6.99E-06
805,1.182,-4.34E-05
806,1.192,-8.35E-05
807,1.192,9.07E-05
808,1.192,4.70E-05
809,1.192,-0.00023314
810,1.192,-4.45E-05
811,1.192,-0.00027222
812,1.192,-0.000277456
813,1.202,-0.00048435
814,1.202,-0.000407561
815,1.202,-1.49E-06
816,1.202,-0.000456339
817,1.202,-0.000750947
818,1.202,-0.000524501
819,1.212,-0.000570857
820,1.212,-0.000821375
821,1.212,-0.00080801
822,1.212,-0.000317451
823,1.212,-0.000992193
824,1.212,-0.000612013
825,1.222,-0.000558967
826,1.222,-0.000736124
827,1.222,-0.000409684
828,1.222,-0.000619567
829,1.222,-0.000558065
830,1.222,-0.000529355
831,1.232,-0.000158983
832,1.232,-9.84E-05
833,1.232,-0.000387375
834,1.232,-0.000309594
835,1.232,-0.000229428
836,1.232,-0.000179606
837,1.232,0.000114783
838,1.242,-0.00012233
839,1.242,-0.000102053
840,1.242,-0.000333947
841,1.242,-9.97E-05
842,1.242,-9.89E-05
843,1.242,-0.000101311
844,1.252,-9.35E-05
845,1.252,4.25E-05
846,1.252,2.31E-05
847,1.252,-0.000265671
848,1.252,-0.000166788
849,1.252,-0.000431861
850,1.262,-0.000412474
851,1.262,-0.000287089
852,1.262,-0.000342392
853,1.262,-0.000366691
854,1.262,-0.000388106
855,1.262,-0.000622699
856,1.272,-0.000458652
857,1.272,-0.000764918
858,1.272,-0.000516166
859,1.272,-0.000478469
860,1.272,-0.000652825
861,1.272,-0.000429952
862,1.272,-0.000636448
863,1.282,-0.0003695
864,1.282,-0.00039003
865,1.282,-0.000154565
866,1.282,-0.000515262
867,1.282,-0.000494999
868,1.282,-0.000426587
869,1.292,-0.000179126
870,1.292,-0.0003023
871,1.292,-0.000329441
872,1.292,-0.000353784
873,1.292,-0.000338581
874,1.292,-0.000361553
875,1.302,-0.0001374
876,1.302,-0.000238325
877,1.302,-0.000234231
878,1.302,-0.000265748
879,1.302,-0.000424132
880,1.302,-0.000270411
881,1.312,-0.000346305
882,1.312,-0.000322263
883,1.312,-0.000335815
884,1.312,-0.000470469
885,1.312,-0.00024721
886,1.312,-0.000261068
887,1.312,-0.000157908
888,1.322,-0.000291775
889,1.322,-0.000307971
890,1.322,-0.000324255
891,1.322,-0.000283546
892,1.322,-0.000296329
893,1.322,-0.000325346
894,1.332,-0.00025521
895,1.332,-0.000197002
896,1.332,-0.00026878
897,1.332,-0.000273366
898,1.332,-0.00027629
899,1.332,-0.000277449
900,1.342,-0.000415176
901,1.342,-0.000529537
902,1.342,-0.000337454
903,1.342,-0.000395869
904,1.342,-0.000448434
905,1.342,-0.000494265
906,1.352,-0.000591917
907,1.352,-0.000619811
908,1.352,-0.000729993
909,1.352,-0.000501612
910,1.352,-0.000245512
911,1.352,-0.000438012
912,1.352,-0.000325937
913,1.362,-0.00026502
914,1.362,-0.000246553
915,1.362,-0.000315451
916,1.362,-6.74E-05
917,1.362,-4.83E-05
918,1.362,-5.64E-05
919,1.372,-2.75E-05
920,1.372,-2.73E-05
921,1.372,-5.52E-05
922,1.372,-5.67E-05
923,1.372,-5.91E-05
924,1.372,-9.36E-05
925,1.382,-4.06E-05
926,1.382,-0.000165809
927,1.382,-5.57E-05
928,1.382,-8.24E-05
929,1.382,-4.93E-05
930,1.382,-9.52E-05
931,1.392,-0.000101993
932,1.392,-0.000108814
933,1.392,-0.000115603
934,1.392,-0.000122262
935,1.392,-6.44E-05
936,1.392,0
937,1.392,0
938,1.402,-9.27E-05
939,1.402,-7.55E-05
940,1.402,-0.000155337
941,1.402,-0.000238915
942,1.402,-0.000406819
943,1.402,-0.000378987
944,1.412,-0.000504674
945,1.412,-0.000524256
946,1.412,-0.000516168
947,1.412,-0.000520352
948,1.412,-0.000523683
949,1.412,-0.000889638
950,1.422,-0.000410252
951,1.422,-0.000530004
952,1.422,-0.000442769
953,1.422,-0.000354953
954,1.422,-0.0003556
955,1.422,-0.000356193
956,1.432,-0.000445941
957,1.432,-0.000446604
958,1.432,-0.000447217
959,1.432,-0.000537303
960,1.432,-0.000627431
